image,variation,short_caption_bn,long_desc_bn,logic_bn,poetic_bn,visual_tags_en,context_tags_en,authenticity,safety,scene_details,color_details
102.jpg,1,একটি সুন্দর সবুজ চা বাগান।,"ছবির এই দৃশ্যটি একটি বিস্তৃত চা বাগানের, যেখানে পাহাড়ের ঢালে অসংখ্য সবুজ চা গাছ সারিবদ্ধভাবে সাজানো রয়েছে এবং ছায়া দেওয়ার জন্য মাঝে মাঝে লম্বা গাছ দাঁড়িয়ে আছে।",চা চাষের জন্য পাহাড়ী ঢাল ও পর্যাপ্ত ছায়া উপযোগী হওয়ায় এখানে চা বাগান গড়ে উঠেছে।,সবুজ পাহাড়ের গায়ে রোদের আলপনা আর ছায়াবৃত গাছের শীতল মায়ায় প্রকৃতি যেন এক শান্ত রূপ।,"Tea garden, green bushes, hills, trees, sky, foliage, nature, plantation","Agriculture, tea estate, landscape, serene, rural, daytime, outdoors",Real,Safe,"Outdoor, tea plantation, bright daylight","Vibrant green, light brown, pale blue"
102.jpg,2,একটি সুন্দর সবুজ চা বাগানের প্রাকৃতিক দৃশ্য।,পাহাড়ের ঢালে সারিবদ্ধভাবে সাজানো সবুজ চা গাছ এবং তার মাঝে লম্বা পাতলা গাছগুলো এক মনোরম পরিবেশ তৈরি করেছে। উজ্জ্বল সূর্যালোক বাগানের সতেজতাকে আরও চমৎকারভাবে ফুটিয়ে তুলেছে।,পাহাড়ি অঞ্চলে চা চাষের জন্য উপযুক্ত আবহাওয়া ও ভূমিরূপ এখানে বিদ্যমান।,সবুজের গালিচায় মোড়া এই পাহাড়ী প্রান্তর যেন প্রকৃতির এক শান্ত ও স্নিগ্ধ আলিঙ্গন।,"Tea garden, green leaves, hills, trees, sky, nature, plantation, bushes","Agriculture, serene landscape, tourism, tea industry, tropical climate, outdoor",Real,Safe (Natural landscape without any harmful elements),"Daytime, outdoor tea plantation, bright natural daylight","Vibrant green, light blue, earthy brown, white"
102.jpg,3,একটি মনোরম চা বাগানের সজীব ও শান্ত দৃশ্য।,পাহাড়ের ঢালে সুশৃঙ্খলভাবে সাজানো সবুজ চা গাছের সারি এবং দীর্ঘ ছায়া প্রদানকারী বৃক্ষরাজি একটি অত্যন্ত চমৎকার প্রাকৃতিক দৃশ্য তৈরি করেছে। উজ্জ্বল দিনের আলোয় পুরো বাগানটি সজীব ও স্নিগ্ধ দেখাচ্ছে।,চা চাষের জন্য উপযোগী পাহাড়ি ঢাল এবং ছায়া প্রদানকারী গাছের পরিকল্পিত বিন্যাস।,সবুজের গালিচায় যেন প্রকৃতির এক প্রশান্তিময় ও স্নিগ্ধ আলপনা আঁকা হয়েছে।,"Tea garden, green leaves, hills, trees, nature, landscape, sky, plantations","Agriculture, tourism, tea production, environment, serene, outdoors",Real,Safe (Natural landscape with no hazards),"Daytime, outdoor, bright natural light, hilly terrain","Lush green, light blue, brown, white."
102.jpg,4,একটি সুন্দর চা বাগানের প্রাকৃতিক দৃশ্য।,ছবিতে একটি পাহাড়ী ঢালে বিস্তীর্ণ সবুজ চা বাগান দেখা যাচ্ছে। চা গাছগুলোর মাঝখানে লম্বা লম্বা সরু গাছ দাঁড়িয়ে আছে এবং চারপাশ সবুজে ঘেরা এক মনোরম পরিবেশ তৈরি করেছে।,এটি চা চাষের জন্য উপযুক্ত একটি পাহাড়ি অঞ্চল বা চা এস্টেটের দৃশ্য।,সবুজের এই গালিচা যেন প্রকৃতির এক শান্ত ও স্নিগ্ধ আলিঙ্গন।,"Tea garden, Tea bushes, Trees, Hillside, Greenery, Nature, Sky","Plantation, Agriculture, Landscape, Scenic view, Sylhet region, Outdoors",Real,Safe,"Daytime, Outdoor, Bright natural lighting, Rural landscape","Bright Green, Dark Green, Brown, Light Blue"
102.jpg,5,একটি পাহাড়ের ঢালে বিস্তৃত সবুজ চা বাগান।,ছবিটিতে পাহাড়ি ঢালে সারিবদ্ধভাবে সাজানো সবুজ চা গাছ দেখা যাচ্ছে। চা বাগানের মাঝে উঁচু উঁচু ছায়া প্রদানকারী গাছ দাঁড়িয়ে আছে এবং চারপাশের পরিবেশটি বেশ সতেজ ও মনোরম মনে হচ্ছে।,চা চাষের জন্য উপযুক্ত আবহাওয়া এবং পাহাড়ি ভূমির দৃশ্য এখানে ফুটে উঠেছে।,সবুজের গালিচায় যেন প্রকৃতির এক প্রশান্তিময় আলপনা আঁকা হয়েছে।,"Tea bushes, trees, hill, green leaves, sky, vegetation, landscape, plantation","Nature, agriculture, tea garden, tourism, Sylhet, rural landscape, environment, freshness",Real,Safe (Natural landscape with no visible hazards),"Daytime, outdoor, natural daylight, tea garden environment","Vibrant green, light brown, soft blue, deep green."
103.jpg,1,পাহাড়ের ঢালে বিস্তৃত একটি সবুজ চা বাগানের মনোমুগ্ধকর দৃশ্য।,ছবির সম্মুখভাগে সতেজ চা পাতা এবং পেছনে পাহাড়ের ঢাল বেয়ে বিস্তৃত ঘন সবুজ চা বাগান দেখা যাচ্ছে। ছায়া প্রদানকারী গাছ এবং দূরে একটি ছোট সাদা ঘর প্রাকৃতিক সৌন্দর্য বাড়িয়ে দিয়েছে।,অনুকূল জলবায়ু ও পাহাড়ি ভূপ্রকৃতির কারণে এখানে চা চাষের উপযুক্ত পরিবেশ তৈরি হয়েছে।,সবুজের এই গালিচা যেন প্রকৃতির এক শান্ত ও শীতল আলিঙ্গন।,"Tea leaves, tea garden, hills, trees, greenery, landscape, nature, plantation, bushes","Agriculture, tourism, Sylhet, outdoor, daylight, serene, fresh, ecological",Real,Safe. The image depicts a peaceful natural landscape without any harmful content.,"Daytime, outdoor tea plantation, bright natural sunlight","Green, light green, dark green, brown, white."
103.jpg,2,একটি মনোরম সবুজ চা বাগানের দৃশ্য।,পাহাড়ি ঢালে বিস্তৃত সবুজ চা বাগানের এই চমৎকার দৃশ্যটিতে কচি চা পাতার সতেজতা ফুটে উঠেছে। দূরে বড় বড় গাছ এবং একটি ছোট ঘর প্রাকৃতিক সৌন্দর্যকে আরও বাড়িয়ে দিয়েছে।,এটি চা উৎপাদনের জন্য একটি আদর্শ পাহাড়ি পরিবেশের চিত্র।,সবুজ পাতার ঢেউয়ে প্রকৃতির এক শান্ত ও স্নিগ্ধ সুর অনুরণিত হচ্ছে।,"Tea leaves, tea plantation, green bushes, hills, trees, dirt path, shack, nature, foliage","Agriculture, tea garden, Sylhet, landscape, tourism, freshness, environment, rural life",Real,Safe (Natural landscape),"Daytime, outdoor, tea plantation, bright natural daylight","Vibrant green, earthy brown, dark green, light yellow-green"
103.jpg,3,একটি সুন্দর সবুজ চা বাগানের মনোরম দৃশ্য।,"পাহাড়ের ঢালে বিস্তৃত এই সবুজ চা বাগানটি প্রকৃতির এক অপরূপ সৃষ্টি, যেখানে ঘন চা গাছগুলো সারিবদ্ধভাবে সাজানো রয়েছে এবং মাঝখানে লম্বা ছায়াদানকারী গাছগুলো এই পরিবেশকে আরও মনোরম করে তুলেছে।",চা উৎপাদনের জন্য পাহাড়ি ঢাল এবং অনুকূল জলবায়ু থাকায় এটি একটি আদর্শ চা বাগান।,সবুজ পাতার ঢেউয়ে যেন প্রকৃতির এক প্রশান্তিময় সুর খেলা করছে এই স্নিগ্ধ বিকেলে।,"Tea leaves, Tea garden, Green bushes, Trees, Hill slope, Pathway, Nature, Foliage","Sylhet tea garden, Agriculture, Plantation, Scenic landscape, Tourism, Natural beauty, Serene environment",Real,Safe,"Daytime, Outdoor, Hillside tea plantation, Bright natural light","Vibrant green, Deep green, Brown soil, Soft white sky tones"
103.jpg,4,একটি সুন্দর এবং সতেজ চা বাগানের মনোরম দৃশ্য।,সবুজ পাহাড়ি ঢালে সারিবদ্ধভাবে সাজানো চা গাছগুলো প্রকৃতির এক অপূর্ব সৌন্দর্য ফুটিয়ে তুলেছে। ছায়াদানকারী বড় গাছের নিচে ঘন ঝোপের মতো চা বাগানটি দিনের আলোয় অত্যন্ত উজ্জ্বল এবং প্রাণবন্ত দেখাচ্ছে।,পাহাড়ি অঞ্চলে অনুকূল আবহাওয়ায় বাণিজ্যিকভাবে চা চাষের মাধ্যমে এই সুন্দর প্রাকৃতিক পরিবেশ তৈরি হয়েছে।,সবুজ পাতার ঢেউয়ে যেন প্রকৃতির এক শান্ত ও স্নিগ্ধ সুর অনুরণিত হচ্ছে।,"tea leaves, tea bushes, hills, trees, green foliage, plantation, forest, path","nature, landscape, agriculture, sylhet, environment, tranquility, scenic view, outdoors",Real,Safe. The image displays a peaceful natural landscape with no harmful content.,"Daytime, Outdoor hill tract tea garden, Bright natural sunlight.","Vibrant green, emerald, forest green, earthy brown."
103.jpg,5,একটি সুন্দর এবং সবুজ চা বাগানের প্রাকৃতিক দৃশ্য।,এই ছবিতে একটি পাহাড়ের ঢালে বিস্তৃত সবুজ চা বাগান দেখা যাচ্ছে। সামনের দিকে চায়ের কচি পাতাগুলো উজ্জ্বল এবং পেছনের সারিবদ্ধ গাছগুলো প্রকৃতির স্নিগ্ধতাকে ফুটিয়ে তুলেছে।,পাহাড়ি অঞ্চলে অনুকূল আবহাওয়ার কারণে চা চাষের জন্য এই বাগানটি তৈরি করা হয়েছে।,সবুজের এই গালিচা যেন পৃথিবীর বুকে এক শান্ত ও শীতল প্রশান্তির ছোঁয়া।,"Tea leaves, Tea garden, Trees, Hillside, Greenery, Nature, Bushes, Plantation","Agriculture, Sylhet, Tea production, Refreshing, Landscape, Outdoors, Tourism",Real,Safe,"Day, Outdoor, Natural sunlight","Green, Dark Green, Light Green, Brown."
104.jpg,1,পাহাড়ের গায়ে বিস্তৃত সবুজ চা বাগানের এক মনোরম দৃশ্য।,ছবিতে দেখা যাচ্ছে ঢেউখেলানো পাহাড়ের ঢালে সুবিন্যস্ত সবুজ চা বাগান। দূরে মেঘাচ্ছন্ন নীল পাহাড় এবং ছোট একগুচ্ছ গাছ এই প্রাকৃতিক ল্যান্ডস্কেপটিতে এক অনন্য ও শান্তিময় সৌন্দর্যের মাত্রা যোগ করেছে।,পাহাড়ি পরিবেশে চা চাষের উপযোগী আবহাওয়া ও ভূমিরূপের কারণে এই দৃশ্যটি অত্যন্ত স্বাভাবিক।,সবুজের গালিচায় মোড়া এই পাহাড়গুলো যেন প্রকৃতির এক প্রশান্তিময় আলিঙ্গন।,"tea garden, green hills, mountains, sky, clouds, trees, plantation, landscape","nature, agriculture, tourism, hill station, misty, scenic beauty, eco-tourism",Real,Safe,"Daytime, outdoor, mountain landscape, natural daylight","Vibrant green, sky blue, white clouds"
104.jpg,2,পাহাড়ের ঢালে সবুজ চা বাগানের এক মনোরম দৃশ্য।,এই ছবিতে পাহাড়ের ধাপে ধাপে বিস্তৃত চা বাগান দেখা যাচ্ছে। ঘন সবুজ চা গাছগুলো সুশৃঙ্খলভাবে সাজানো এবং দূরে কুয়াশাচ্ছন্ন নীল পাহাড় ও সাদা মেঘের অপরূপ মিতালী ফুটে উঠেছে।,পাহাড়ি অঞ্চলে চা চাষের উপযুক্ত পরিবেশ ও প্রাকৃতিক সৌন্দর্যের প্রতিফলন এটি।,সবুজ মখমলের গালিচায় যেন প্রকৃতির এক শান্ত ও শীতল ছোঁয়া।,"Tea garden, rolling hills, mountains, clouds, green bushes, trees, mist, landscape","Nature, plantation, hill station, agriculture, serenity, travel, tea estate, fresh air",Real,Safe. The image contains a natural landscape with no harmful elements.,"Daytime, Outdoor, Bright natural light with misty atmosphere.","Vibrant green, Sky blue, White, Dark green."
104.jpg,3,পাহাড়ের গায়ে ঘন সবুজ চা বাগানের এক অপূর্ব দৃশ্য।,"এই ছবিতে পাহাড়ের আঁকাবাঁকা ঢাল জুড়ে বিস্তৃত ঘন সবুজ চা বাগানের অপরূপ সৌন্দর্য ফুটে উঠেছে, যেখানে নীল পাহাড় এবং সাদা মেঘের লুকোচুরি এক শান্ত ও স্নিগ্ধ পরিবেশ তৈরি করেছে।",এটি সম্ভবত কোনো পাহাড়ি অঞ্চলের চা চাষের দৃশ্য যা কৃষিকাজ ও পর্যটন নির্দেশ করে।,সবুজের গালিচায় মোড়ানো পাহাড়গুলো যেন প্রকৃতির এক প্রশান্তিময় ও নিবিড় আলিঙ্গন।,"tea plantation, green hills, mountains, clouds, sky, trees, landscape, greenery","nature, tourism, agriculture, peaceful, panoramic, scenic beauty, highland",Real,Safe,"Daytime, outdoor, natural bright daylight, mountain environment","Green, Blue, White, Dark Green"
104.jpg,4,পাহাড়ের ঢালে বিস্তৃত সবুজ চা বাগানের এক মনোরম দৃশ্য।,এই ছবিতে দেখা যাচ্ছে দিগন্ত বিস্তৃত পাহাড়ের কোল জুড়ে ঘন সবুজ চা বাগান। মেঘে ঢাকা পাহাড়ের চূড়া এবং আঁকাবাঁকা পথগুলো এই প্রাকৃতিক দৃশ্যকে এক অপূর্ব মাত্রা দান করেছে।,পাহাড়ি অঞ্চলে চা চাষ এবং মনোরম পর্যটন কেন্দ্রের একটি স্বাভাবিক চিত্র এটি।,সবুজের গালিচায় মোড়ানো পাহাড় যেন আকাশের নীলিমার সাথে মিতালী করছে।,"Tea garden, mountains, green hills, trees, clouds, mist, paths","Nature, agriculture, landscape, tourism, serene, environment, hill station",Real,Safe,"Outdoor, daytime, mountain landscape, soft natural lighting","Green, blue, white"
104.jpg,5,পাহাড়ের ঢালে বিস্তৃত সবুজ চা বাগানের দৃশ্য।,"ছবিতে পাহাড়ের সর্পিল ঢালে সুবিন্যস্ত সবুজ চা বাগান দেখা যাচ্ছে। দূরে মেঘাচ্ছন্ন পাহাড় এবং ঘন কুয়াশা এক শান্ত ও স্নিগ্ধ পরিবেশ তৈরি করেছে, যা প্রকৃতির এক অপার সৌন্দর্য।",চা চাষের জন্য পাহাড়ের ঢালু এবং আর্দ্র জলবায়ু অত্যন্ত উপযুক্ত।,সবুজের গালিচায় মোড়ানো পাহাড় যেন আকাশের মেঘের সাথে মিতালি করছে।,"tea garden, green hills, mountains, fog, clouds, trees, plantations, landscape","nature, agriculture, serenity, Munnar, travel, highland, greenery, mist",Real,Safe (Natural landscape image),"Daytime, Outdoor, Mountainous region, Misty lighting","Green, Blue, White, Cyan."
105.jpg,1,একটি ব্যস্ত বাংলাদেশের শহরের রাস্তায় রিকশা ও মোটরসাইকেলের ভিড়।,"ছবিতে বাংলাদেশের একটি জনাকীর্ণ রাস্তা দেখা যাচ্ছে যেখানে অনেক রিকশা, মোটরসাইকেল এবং পথচারী চলাফেরা করছে। রাস্তার দুই পাশে বিভিন্ন দোকানপাট ও মানুষের ব্যস্ততা ফুটে উঠেছে যা নিত্যদিনের জীবনযাত্রার প্রতিচ্ছবি।",এটি একটি সাধারণ কর্মব্যস্ত দিনের দৃশ্য যেখানে মানুষ যাতায়াতের জন্য রিকশা ও বাইক ব্যবহার করছে।,শহরের যান্ত্রিক কোলাহলের মাঝে সাধারণ মানুষের জীবনযুদ্ধের এক জীবন্ত ক্যানভাস এই দৃশ্যটি।,"Rickshaw, Motorcycle, People, Shops, Street, Signboards, Clothing, Wheels","Bangladesh, Urban Life, Traffic, Commute, Busy Street, South Asia, Daily Routine",Real,Safe,"Outdoor, Busy city street during daytime, Natural bright light","Orange, Blue, Green, White, Black, Grey"
105.jpg,2,একটি ব্যস্ত শহরের রাস্তায় রিকশা ও মোটরসাইকেলের ভিড়।,"ছবিটিতে বাংলাদেশের একটি ব্যস্ত জনপদ দেখানো হয়েছে, যেখানে রিকশা চালক, যাত্রী এবং মোটরসাইকেল আরোহীরা জটলার মধ্যে চলাফেরা করছেন। রাস্তার পাশে সাইনবোর্ডসহ বিভিন্ন দোকান এবং মানুষের দৈনন্দিন কর্মব্যস্ততা স্পষ্টভাবে ফুটে উঠেছে।",শহুরে জীবনযাত্রায় যাতায়াতের জন্য রিকশা ও মোটরসাইকেল ব্যবহারের সাধারণ দৃশ্য।,যান্ত্রিক কোলাহলের মাঝে নাগরিক ব্যস্ততা যেন এক অবিরাম ছন্দের প্রতিচ্ছবি।,"Rickshaw, Motorcycle, People, Shops, Signboards, Street, Crowd, Cycle","Urban life, Bangladesh street, Traffic congestion, Daily commute, South Asian culture, Transportation",Real,Safe. Public street scene.,"Daylight, Outdoor, Busy urban street, Natural lighting","Orange, Blue, Green, Grey, Black."
105.jpg,3,বাংলাদেশের একটি জনবহুল রাস্তায় রিকশা ও মানুষের ভিড়ের চিত্র।,"ছবিতে বাংলাদেশের একটি জনবহুল গলি দেখা যাচ্ছে যেখানে রিকশা, মোটরসাইকেল এবং পথচারীরা জটলা পাকিয়ে আছে। দুপাশে বিভিন্ন দোকান এবং মানুষের দৈনন্দিন কর্মব্যস্ততার এক নিবিড় চিত্র ফুটে উঠেছে।",শহর এলাকার সরু রাস্তায় অতিরিক্ত যানবাহন ও মানুষের চাপে সৃষ্ট সাধারণ যানজটের দৃশ্য।,কোলাহলপূর্ণ এই নগরের ব্যস্ত রাজপথে জীবনের প্রতিটি মূহুর্ত যেন এক নিরন্তর ছুটে চলার গল্প।,"Rickshaw, Motorcycle, People, Shops, Street, Crowd, Helmet, Signs, Bags, Abaya","Bangladesh, Urban life, Traffic jam, Daily commute, Dhaka street, South Asia, Busy market, Congestion",Real,Safe,"Daytime, Outdoor, Narrow urban street, Natural lighting","Orange, Blue, Green, Black, White, Grey."
105.jpg,4,বাংলাদেশের একটি ব্যস্ত রাস্তায় রিকশা ও মোটরসাইকেলের ভিড়।,"একটি জনাকীর্ণ শহুরে রাস্তায় অসংখ্য রঙিন রিকশা, একটি কমলা রঙের মোটরসাইকেল এবং পথচারীদের ভিড় দেখা যাচ্ছে। পাশের দোকানগুলোতে বাংলা সাইনবোর্ড রয়েছে এবং মানুষজন ব্যস্ততার সাথে যাতায়াত করছে।",শহুরে এলাকায় দৈনন্দিন যাতায়াত এবং ব্যবসার কারণে এই ধরণের যানজট সৃষ্টি হয়।,ব্যস্ত শহরের যান্ত্রিক কোলাহলে জীবনের এক অবিরাম ও প্রাণবন্ত স্পন্দন ফুটে উঠেছে।,"Motorcycle, Rickshaw, People, Shop, Street, Signboard, Wheels, Crowd","Bangladesh, Traffic Jam, Urban Life, Transportation, Busy Market, Dhaka City",Real,Safe (Public street scene with no harmful content),"Daytime, Crowded outdoor street, Natural daylight","Orange, Blue, Green, White, Grey."
